Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 6,Kwangdong Freecs,Hanwha Life Esports,0 - 2,2,13.3,Elise,Annie,Caitlyn,Maokai,Ashe,Varus,Sejuani,Zeri,Lulu,Ezreal,Karma,Vi,Jax,Kassadin,Fiora,Akali,Sylas,Jayce,Yone,Camille,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/Ey9hxfgjolU?feature=share&t=18956
Week 6,Hanwha Life Esports,Kwangdong Freecs,1 - 0,1,13.3,Annie,Elise,Varus,Ashe,Sejuani,Maokai,Caitlyn,Karma,Wukong,Lux,Nidalee,Jhin,Yone,Jax,Jayce,Akali,Renekton,Gnar,Azir,Taliyah,Bot,Support,Jungle,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/Ey9hxfgjolU?feature=share&t=15871
Week 6,BRION,DRX,01월 02일,2,13.3,Caitlyn,Maokai,Ashe,Elise,Annie,Lucian,Varus,Sejuani,Karma,Vi,Heimerdinger,Ezreal,Fiora,Jax,Camille,Renekton,Jayce,Akali,Gragas,K'Sante,Bot,Jungle,Support,Mid,Top,Jungle,Support,Bot,Mid,Top,SB,https://www.youtube.com/live/Ey9hxfgjolU?feature=share&t=9084
Week 6,DRX,BRION,01월 01일,1,13.3,Karma,Maokai,Lucian,Ashe,Elise,Caitlyn,Annie,Zeri,Vi,Varus,Heimerdinger,Lulu,Wukong,Kassadin,Lee Sin,Azir,Renekton,Jax,Sejuani,Orianna,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/Ey9hxfgjolU?feature=share&t=5824
Week 6,BRION,DRX,1 - 0,1,13.3,Caitlyn,Maokai,Ashe,Elise,Annie,Varus,Zeri,Lucian,Vi,Sejuani,Lulu,Nami,Gnar,LeBlanc,Jax,Renekton,Gragas,Akali,Fiora,Sylas,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/Ey9hxfgjolU?feature=share&t=1811
Week 6,Nongshim RedForce,Liiv SANDBOX,01월 02일,2,13.3,Ashe,Annie,Caitlyn,Maokai,Karma,Elise,Lucian,Zeri,Wukong,Vi,Nami,Lulu,Renekton,Akali,LeBlanc,Kassadin,Azir,Corki,K'Sante,Gnar,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/hdilqZcs21E?feature=share&t=19953
Week 6,Liiv SANDBOX,Nongshim RedForce,01월 01일,1,13.3,Annie,Ashe,Elise,Maokai,Zeri,Lucian,Varus,Karma,Sejuani,Caitlyn,Vi,Ezreal,Sylas,Renekton,Kassadin,Jayce,Akali,LeBlanc,Gnar,Jax,Bot,Support,Jungle,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/hdilqZcs21E?feature=share&t=16215
Week 6,Nongshim RedForce,Liiv SANDBOX,1 - 0,1,13.3,Ashe,Elise,Zeri,Lucian,Akali,Maokai,Karma,Varus,Caitlyn,Ezreal,Sejuani,Wukong,Renekton,Kassadin,Jayce,Sylas,Jax,Gangplank,Annie,Orianna,Support,Bot,Jungle,Top,Mid,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/hdilqZcs21E?feature=share&t=11747
Week 6,T1,KT Rolster,2 - 0,1,13.3,Maokai,Ashe,Sejuani,Elise,Karma,Caitlyn,Annie,Lucian,Nami,Varus,Vi,Wukong,Kalista,Jax,Jayce,Viktor,Gragas,Draven,K'Sante,Gwen,Mid,Support,Jungle,Bot,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/hdilqZcs21E?feature=share&t=5389
Week 6,T1,KT Rolster,1 - 0,1,13.3,Maokai,Ashe,Sejuani,Elise,Karma,Caitlyn,Lucian,Zeri,Wukong,Nami,Annie,Lulu,Jayce,Jax,Lee Sin,Viktor,Azir,Gnar,Vi,Camille,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/hdilqZcs21E?feature=share&t=2635
Week 6,Kwangdong Freecs,Dplus KIA,0 - 2,2,13.3,Caitlyn,Maokai,Elise,Ashe,Jayce,Annie,Varus,Karma,Sejuani,Wukong,Heimerdinger,Ezreal,Gragas,Renekton,Akali,Yone,Jax,Taliyah,Fiora,Kassadin,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/fLTv1LU5APk?feature=share&t=14349
Week 6,Dplus KIA,Kwangdong Freecs,1 - 0,1,13.3,Maokai,Elise,Annie,Caitlyn,Sejuani,Jayce,Ashe,Varus,Wukong,Lee Sin,Ezreal,Karma,LeBlanc,Renekton,Azir,Sylas,Jax,Akali,Gnar,Lissandra,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/fLTv1LU5APk?feature=share&t=10833
Week 6,DRX,Gen.G,0 - 2,2,13.3,Annie,Ashe,Karma,Maokai,Elise,Caitlyn,Lucian,Lulu,Vi,Nami,Wukong,Zeri,Akali,Kassadin,Renekton,Azir,Taliyah,Jax,Viktor,Gragas,Bot,Support,Jungle,Top,Mid,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/fLTv1LU5APk?feature=share&t=4739
Week 6,Gen.G,DRX,1 - 0,1,13.3,Varus,Maokai,Heimerdinger,Ashe,Elise,Caitlyn,Annie,Lucian,Nami,Zeri,Lulu,Vi,Lee Sin,Renekton,Wukong,Kassadin,Azir,Sejuani,Jax,Gragas,Mid,Bot,Support,Jungle,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/fLTv1LU5APk?feature=share&t=1856
